lower_layer_super_output_areas_code,asian_asian_british_or_asian_welsh_bangladeshi,asian_asian_british_or_asian_welsh_chinese,asian_asian_british_or_asian_welsh_indian,asian_asian_british_or_asian_welsh_pakistani,asian_asian_british_or_asian_welsh_other_asian
E01000001,0.0027137042062415195,0.04477611940298507,0.03324287652645862,0.0013568521031207597,0.025101763907734057
E01000002,0.005050505050505051,0.0735930735930736,0.026695526695526696,0.0021645021645021645,0.023088023088023088
E01000003,0.006823821339950372,0.03225806451612903,0.02295285359801489,0.0018610421836228288,0.031017369727047148
E01000005,0.23887375113533152,0.03178928247048138,0.021798365122615803,9.082652134423251e-4,0.02815622161671208
E01000006,0.11598915989159891,0.005962059620596206,0.0883468834688347,0.221680216802168,0.04769647696476965
E01000007,0.11286992429456297,0.014796971782518927,0.07845836200963524,0.08568479008947007,0.027873365450791467
E01000008,0.11024498886414254,0.004454342984409799,0.022271714922048998,0.09743875278396437,0.021714922048997772
E01000009,0.11911357340720222,0.01218836565096953,0.10803324099722991,0.21828254847645429,0.03213296398891967
E01000011,0.14612676056338028,0.004694835680751174,0.08215962441314555,0.2681924882629108,0.046948356807511735
E01000012,0.12223168654173765,0.002981260647359455,0.062180579216354344,0.1141396933560477,0.034497444633730834
E01000013,0.06902086677367576,0.012306046013911182,0.027287319422150885,0.03103263777421081,0.028892455858747994
E01000014,0.092,0.009714285714285713,0.024,0.030285714285714287,0.017714285714285714
E01000015,0.06319702602230483,0.0037174721189591076,0.021065675340768277,0.033044196612969846,0.03180503923998348
E01000016,0.06479481641468683,0.0016198704103671706,0.019438444924406047,0.026997840172786176,0.03185745140388769
E01000017,0.09291521486643438,5.807200929152149e-4,0.027874564459930314,0.052845528455284556,0.03774680603948897
E01000018,0.059684684684684686,0.0022522522522522522,0.02252252252252252,0.026463963963963964,0.019144144144144143
E01000019,0.10513595166163142,0.006042296072507553,0.07613293051359517,0.1256797583081571,0.025981873111782478
E01000020,0.0708085883965281,0.004111466423024212,0.04659661946094107,0.07537688442211055,0.027409776153494745
E01000021,0.0943952802359882,0.005309734513274336,0.06371681415929203,0.11386430678466077,0.038348082595870206
E01000022,0.10305084745762712,0.006779661016949152,0.04338983050847458,0.07932203389830508,0.021016949152542375
E01000024,0.08226567768037761,0.006743088334457181,0.06271072151045179,0.06810519217801753,0.03641267700606878
E01000025,0.07700312174817898,0.005202913631633715,0.04318418314255983,0.08272632674297607,0.02809573361082206
E01000027,0.04755043227665706,4.803073967339097e-4,0.039865513928914506,0.05091258405379443,0.03025936599423631
E01000028,0.102803738317757,0.0010995052226498076,0.04892798240791644,0.05112699285321605,0.019241341396371632
E01000029,0.10301369863013699,0.005479452054794521,0.11397260273972602,0.10136986301369863,0.03890410958904109
E01000030,0.05967238689547582,0.0062402496099844,0.02574102964118565,0.060842433697347896,0.013650546021840874
E01000031,0.12782805429864252,0.003393665158371041,0.11425339366515837,0.14536199095022626,0.03676470588235294
E01000032,0.1532916866890918,0.008169149447381067,0.08889956751561749,0.07832772705430081,0.035559827006247
E01000033,0.045425048669695,0.004542504866969501,0.00973393900064893,0.026606099935107073,0.014925373134328358
E01000034,0.054533925174381735,0.0025364616360177552,0.017121116043119847,0.031071655041217502,0.010145846544071021
E01000035,0.11385606874328678,0.01342642320085929,0.030612244897959183,0.024704618689581095,0.020945220193340493
E01000036,0.14850136239782016,0.01226158038147139,0.04904632152588556,0.02861035422343324,0.040190735694822885
