msoa21cd,eur21,pop21
E02000276,1506,6761
E02000277,1453,7524
E02000278,2118,9431
E02000279,2710,12320
E02000280,1025,8634
E02000281,1481,9654
E02000282,2159,9950
E02000283,1938,8538
E02000284,1290,8741
E02000285,814,6644
E02000286,1304,8687
E02000287,1282,7355
E02000288,2832,12784
E02000289,962,6775
E02000290,1382,6684
E02000291,2218,10162
E02000292,2008,9837
E02000293,894,6397
E02000294,2226,9370
E02000295,1902,8690
E02000296,3091,10340
E02000297,1779,9400
E02000298,1375,8254
E02000299,2474,9496
E02000300,2549,8855
E02000301,2491,10220
E02000302,2291,8668
E02000303,2072,8366
E02000304,1622,8041
E02000305,2559,8874
E02000306,2114,9135
E02000307,2911,10112
E02000308,2412,8761
E02000309,3050,11794
E02000311,3745,10542
E02000312,3766,11303
E02000313,604,6489
E02000314,1888,14107
E02000315,1179,9871
E02000317,963,7561
E02000318,1353,11064
E02000319,1415,10618
E02000320,973,7041
E02000321,897,7721
E02000323,1819,12860
E02000324,985,7867
E02000326,1115,7798
E02000327,692,6625
E02000328,890,6512
E02000329,666,6332
E02000331,1023,8235
E02000332,911,7451
E02000333,782,6242
E02000334,867,6639
E02000335,626,6675
E02000337,1075,8471
E02000339,663,6293
E02000340,899,6865
E02000341,921,7994
E02000342,710,6347
E02000343,787,7047
E02000344,549,6425
E02000345,1092,8197
E02000346,1982,9399
E02000347,1021,8155
E02000348,1048,8105
E02000350,1416,10241
E02000351,1887,9286
E02000352,1069,6746
E02000353,1203,7763
E02000354,1583,9609
E02000355,1161,8193
E02000356,1129,7033
E02000357,1009,6845
E02000358,2372,11091
E02000359,1010,6696
E02000360,1781,11510
E02000361,1494,8059
E02000362,948,6961
E02000363,1678,11882
E02000364,1384,9217
E02000366,1134,8330
E02000367,1900,10420
E02000368,1714,9924
E02000369,2836,13457
E02000370,1969,8863
E02000372,1692,9985
E02000373,957,7033
E02000374,1242,6914
E02000375,1489,7485
E02000376,1476,6702
E02000377,1490,7795
E02000378,1614,6433
E02000379,1402,7390
E02000380,991,5510
E02000381,1775,7628
E02000382,1216,6189
E02000383,2095,8462
E02000384,1795,8270
E02000385,1293,5613
E02000386,1442,7582
E02000387,1156,6027
E02000388,1976,8657
E02000389,1865,8643
E02000390,1226,6197
E02000391,1514,7589
E02000392,1801,9231
E02000393,1295,5973
E02000394,1771,9276
E02000395,1152,5680
E02000396,1348,6899
E02000397,2685,7906
E02000398,1957,7519
E02000400,1925,7991
E02000401,1737,6864
E02000402,1659,6470
E02000403,2823,7513
E02000404,2582,7111
E02000405,973,6472
E02000406,2086,6736
E02000407,1923,7605
E02000408,2153,8252
E02000409,1545,6059
E02000410,1182,6418
E02000411,2951,11424
E02000412,2288,7323
E02000413,1307,7765
E02000414,1963,7080
E02000415,2351,7241
E02000416,1651,8451
E02000417,1224,6555
E02000418,630,5431
E02000419,2899,8736
E02000420,2152,7989
E02000421,2073,8511
E02000422,1954,7458
E02000423,2225,6906
E02000424,1056,6754
E02000425,1328,8167
E02000426,1021,6495
E02000427,1884,6619
E02000428,2005,8434
E02000429,1183,6794
E02000430,1242,6922
E02000431,1101,5850
E02000432,1117,6120
E02000433,1044,8600
E02000434,1459,9844
E02000435,1057,8191
E02000436,473,5757
E02000437,1381,8760
E02000438,992,8546
E02000439,2434,9266
E02000440,1329,9605
E02000441,725,7482
E02000442,2548,9585
E02000443,1978,10746
E02000444,1725,8715
E02000445,2338,11772
E02000447,937,8193
E02000448,734,7070
E02000449,1859,8293
E02000451,826,6711
E02000452,2221,9505
E02000453,1453,8388
E02000454,535,7340
E02000455,2181,11669
E02000456,1243,7823
E02000457,870,7059
E02000459,1663,9326
E02000460,788,7312
E02000461,1107,7292
E02000462,1109,6981
E02000463,1121,8706
E02000464,802,7757
E02000465,1097,9346
E02000466,699,9070
E02000467,1174,11458
E02000468,847,8650
E02000469,947,7283
E02000470,842,9782
E02000471,494,7824
E02000472,883,9469
E02000473,654,10493
E02000474,947,9185
E02000475,681,9612
E02000476,1647,9363
E02000477,551,9534
E02000478,266,5985
E02000479,1386,9449
E02000480,1978,13842
E02000481,345,8235
E02000482,249,6588
E02000483,608,8001
E02000484,523,8493
E02000485,630,8475
E02000486,468,7355
E02000487,222,7912
E02000488,395,7579
E02000489,764,8637
E02000490,679,8470
E02000491,1059,10637
E02000492,403,6831
E02000493,776,6738
E02000494,601,7957
E02000495,1612,10417
E02000496,536,7803
E02000497,873,9521
E02000498,469,6378
E02000499,623,7727
E02000500,903,8275
E02000501,802,8474
E02000502,1082,8930
E02000503,857,8691
E02000504,507,7643
E02000506,561,7961
E02000507,856,8246
E02000508,1914,11946
E02000509,1667,10558
E02000510,872,9116
E02000511,921,9932
E02000512,901,8823
E02000513,971,9760
E02000514,974,10674
E02000515,1796,13293
E02000516,837,8646
E02000517,1010,10468
E02000518,1124,9632
E02000519,728,9554
E02000520,1429,14062
E02000521,1393,13190
E02000522,1216,9576
E02000523,1129,11369
E02000524,1249,7534
E02000525,1295,10061
E02000526,1697,8638
E02000529,871,9716
E02000530,616,8117
E02000531,2219,11584
E02000532,1538,8976
E02000533,1344,8402
E02000534,1540,8557
E02000535,1046,10052
E02000536,1331,10843
E02000537,1682,9845
E02000538,1211,10109
E02000539,1918,12225
E02000540,2105,12124
E02000541,1267,10618
E02000542,1596,12305
E02000543,2527,14000
E02000544,1491,8557
E02000545,1362,9237
E02000546,1452,10428
E02000547,1440,10999
E02000548,1401,10576
E02000549,1713,12535
E02000550,1436,10713
E02000551,1309,9752
E02000552,1538,9259
E02000553,910,7115
E02000554,1698,9357
E02000555,1672,9571
E02000556,2100,11395
E02000557,1810,8786
E02000558,1686,9435
E02000559,1527,9582
E02000560,1706,7354
E02000561,1241,7387
E02000562,1290,7865
E02000563,1670,8681
E02000564,2532,12420
