msoa21cd,eur21,pop21
W02000337,177,7643
W02000338,119,8516
W02000339,332,11051
W02000340,138,7140
W02000341,162,8313
W02000342,251,9360
W02000343,424,8172
W02000344,174,8511
W02000345,197,8034
W02000346,163,7740
W02000347,226,7968
W02000348,234,7604
W02000349,332,8296
W02000350,299,9959
W02000351,289,6269
W02000352,294,6796
W02000353,433,7219
W02000354,236,5794
W02000355,218,10243
W02000356,201,5270
W02000357,800,8281
W02000358,189,6483
W02000359,1377,11805
W02000360,622,6783
W02000361,744,11763
W02000362,156,6980
W02000363,200,5781
W02000364,992,9290
W02000365,486,8576
W02000366,258,8433
W02000367,184,6092
W02000368,152,5699
W02000369,408,9795
W02000370,124,6550
W02000371,311,9102
W02000372,212,8286
W02000373,249,6996
W02000374,203,5892
W02000375,336,7315
W02000376,210,6657
W02000377,349,7781
W02000378,213,7489
W02000379,316,6466
W02000380,194,7903
W02000381,302,6530
W02000382,294,5975
W02000383,230,7499
W02000384,180,5693
W02000385,245,6882
W02000386,207,7584
W02000387,169,5905
W02000388,139,5799
W02000389,256,8426
W02000390,258,6237
W02000391,550,9417
W02000392,267,8775
W02000393,234,6643
W02000394,730,9568
W02000395,420,6672
W02000396,701,7516
W02000397,187,6425
W02000398,968,12251
W02000399,1287,10762
W02000400,411,6297
W02000401,229,5937
W02000402,1291,11612
W02000403,581,7789
W02000404,465,6352
W02000405,303,7812
W02000406,683,10201
W02000407,252,6643
W02000408,768,7461
W02000409,154,6072
W02000410,848,8652
W02000411,238,6597
W02000412,462,6870
W02000414,128,5984
W02000415,563,9357
W02000416,122,10349
W02000417,149,10178
W02000418,214,12256
W02000419,250,11361
W02000421,229,11486
W02000422,850,7388
W02000423,916,10031
W02000424,140,6682
W02000425,212,8345
W02000426,542,9895
W02000427,174,11145
W02000428,229,10502
