lsoa11cd,lsoa11nm,eco_active_unemployed11,pop11
E01000001,City of London 001A,34,1221
E01000002,City of London 001B,16,1196
E01000003,City of London 001C,39,1102
E01000005,City of London 001E,46,773
E01000006,Barking and Dagenham 016A,83,1251
E01000007,Barking and Dagenham 015A,87,1034
E01000008,Barking and Dagenham 015B,125,1023
E01000009,Barking and Dagenham 016B,91,1377
E01000010,Barking and Dagenham 015C,145,2159
E01000011,Barking and Dagenham 016C,84,1239
E01000012,Barking and Dagenham 015D,95,1324
E01000013,Barking and Dagenham 013A,77,1134
E01000014,Barking and Dagenham 013B,91,1170
E01000015,Barking and Dagenham 009A,120,1493
E01000016,Barking and Dagenham 009B,69,1120
E01000017,Barking and Dagenham 009C,63,1108
E01000018,Barking and Dagenham 009D,77,1085
E01000019,Barking and Dagenham 023A,88,970
E01000020,Barking and Dagenham 023B,95,1226
E01000021,Barking and Dagenham 008A,98,1141
E01000022,Barking and Dagenham 008B,62,899
E01000023,Barking and Dagenham 008C,67,825
E01000024,Barking and Dagenham 008D,55,912
E01000025,Barking and Dagenham 008E,83,1139
E01000027,Barking and Dagenham 001A,82,1088
E01000028,Barking and Dagenham 001B,90,995
E01000029,Barking and Dagenham 001C,52,1068
E01000030,Barking and Dagenham 001D,111,1209
E01000031,Barking and Dagenham 002A,65,1157
E01000032,Barking and Dagenham 002B,81,1157
E01000033,Barking and Dagenham 006A,80,919
E01000034,Barking and Dagenham 003A,54,944
E01000035,Barking and Dagenham 010A,71,1119
E01000036,Barking and Dagenham 010B,44,980
E01000037,Barking and Dagenham 003B,133,1329
E01000038,Barking and Dagenham 003C,49,1021
E01000039,Barking and Dagenham 003D,60,1144
E01000040,Barking and Dagenham 019A,78,1096
E01000041,Barking and Dagenham 017A,86,1150
E01000042,Barking and Dagenham 017B,109,1189
E01000043,Barking and Dagenham 019B,66,913
E01000044,Barking and Dagenham 016D,80,1253
E01000045,Barking and Dagenham 017C,78,1130
E01000046,Barking and Dagenham 017D,90,1188
E01000048,Barking and Dagenham 021B,126,1096
E01000049,Barking and Dagenham 021C,125,1112
E01000050,Barking and Dagenham 019C,81,1112
E01000051,Barking and Dagenham 021D,132,1252
E01000052,Barking and Dagenham 019D,84,1385
E01000053,Barking and Dagenham 020A,81,1029
E01000054,Barking and Dagenham 018A,81,1150
E01000055,Barking and Dagenham 018B,85,1093
E01000056,Barking and Dagenham 018C,82,1048
E01000057,Barking and Dagenham 012A,63,987
E01000058,Barking and Dagenham 018D,79,1284
E01000059,Barking and Dagenham 013C,71,1050
E01000060,Barking and Dagenham 006B,95,1174
E01000061,Barking and Dagenham 006C,139,1154
E01000062,Barking and Dagenham 006D,112,1299
E01000063,Barking and Dagenham 004A,88,1101
E01000064,Barking and Dagenham 006E,85,1252
E01000065,Barking and Dagenham 007A,86,1157
E01000066,Barking and Dagenham 011A,65,1323
E01000067,Barking and Dagenham 011B,80,1394
E01000068,Barking and Dagenham 016E,48,1171
E01000069,Barking and Dagenham 011C,37,1267
E01000070,Barking and Dagenham 011D,76,1410
E01000071,Barking and Dagenham 011E,86,1571
E01000072,Barking and Dagenham 017E,101,1331
E01000073,Barking and Dagenham 012B,75,1074
E01000074,Barking and Dagenham 012C,68,1052
E01000075,Barking and Dagenham 012D,70,1204
E01000076,Barking and Dagenham 012E,94,1296
E01000077,Barking and Dagenham 008F,84,1031
E01000078,Barking and Dagenham 007B,87,1144
E01000079,Barking and Dagenham 009E,69,1026
E01000080,Barking and Dagenham 007C,96,1062
E01000081,Barking and Dagenham 007D,69,1173
E01000082,Barking and Dagenham 007E,80,1158
E01000083,Barking and Dagenham 007F,81,1155
E01000084,Barking and Dagenham 013D,63,920
E01000085,Barking and Dagenham 013E,104,1162
E01000086,Barking and Dagenham 013F,72,985
E01000087,Barking and Dagenham 020B,63,942
E01000088,Barking and Dagenham 020C,75,1216
E01000089,Barking and Dagenham 020D,73,1143
E01000090,Barking and Dagenham 020E,67,1068
E01000091,Barking and Dagenham 022A,93,1069
E01000092,Barking and Dagenham 019E,170,1773
E01000093,Barking and Dagenham 022B,95,1048
E01000094,Barking and Dagenham 022C,70,922
E01000095,Barking and Dagenham 018E,77,1061
E01000096,Barking and Dagenham 022D,118,1188
E01000097,Barking and Dagenham 023C,66,1089
E01000098,Barking and Dagenham 023D,109,1186
E01000099,Barking and Dagenham 023E,91,1191
E01000100,Barking and Dagenham 004B,96,1114
E01000101,Barking and Dagenham 004C,62,1078
E01000102,Barking and Dagenham 007G,80,1057
E01000103,Barking and Dagenham 014A,103,1179
E01000104,Barking and Dagenham 014B,131,1216
E01000105,Barking and Dagenham 014C,145,1441
E01000106,Barking and Dagenham 014D,102,1355
E01000107,Barking and Dagenham 010C,72,1117
E01000108,Barking and Dagenham 010D,78,1156
E01000109,Barking and Dagenham 004D,83,1190
E01000110,Barking and Dagenham 002C,54,1026
E01000111,Barking and Dagenham 002D,88,1256
E01000112,Barking and Dagenham 002E,88,1357
E01000113,Barking and Dagenham 002F,83,1196
E01000114,Barking and Dagenham 004E,65,1450
E01000115,Barnet 009A,32,1066
E01000116,Barnet 009B,37,1228
E01000117,Barnet 010A,68,1314
E01000118,Barnet 010B,79,1390
E01000119,Barnet 009C,49,1241
E01000120,Barnet 009D,32,1081
E01000121,Barnet 010C,74,988
E01000122,Barnet 009E,37,1088
E01000123,Barnet 010D,73,1283
E01000124,Barnet 010E,73,1206
E01000125,Barnet 024A,121,1957
E01000126,Barnet 026A,118,1485
E01000127,Barnet 024B,73,1074
E01000128,Barnet 024C,70,1283
E01000129,Barnet 024D,73,1252
E01000130,Barnet 021A,81,1183
E01000131,Barnet 024E,53,1342
E01000132,Barnet 021B,64,1027
E01000133,Barnet 021C,74,1125
E01000134,Barnet 024F,92,1181
E01000135,Barnet 038A,47,1123
E01000136,Barnet 038B,20,1040
E01000137,Barnet 041A,64,1177
E01000138,Barnet 040A,48,1063
E01000139,Barnet 041B,61,1103
E01000140,Barnet 041C,70,1296
E01000141,Barnet 039A,104,1656
E01000142,Barnet 040B,96,1770
E01000143,Barnet 041D,64,1077
E01000144,Barnet 038C,49,1201
E01000145,Barnet 037A,47,992
E01000146,Barnet 038D,78,1352
E01000147,Barnet 030A,54,1335
E01000148,Barnet 030B,82,1421
E01000150,Barnet 036A,79,1532
E01000151,Barnet 026B,97,1127
E01000152,Barnet 026C,87,1116
E01000153,Barnet 026D,70,1107
E01000154,Barnet 026E,58,979
E01000155,Barnet 030D,74,1452
E01000156,Barnet 022A,53,1418
E01000157,Barnet 022B,64,1172
E01000158,Barnet 015A,57,1098
E01000159,Barnet 015B,69,1271
E01000160,Barnet 015C,56,1654
E01000161,Barnet 015D,52,1413
E01000162,Barnet 015E,63,1146
E01000163,Barnet 022C,99,1211
E01000164,Barnet 022D,74,1225
E01000165,Barnet 022E,66,1427
E01000166,Barnet 003A,49,1144
E01000167,Barnet 002A,54,977
E01000168,Barnet 003B,36,1140
E01000169,Barnet 003C,40,1121
E01000170,Barnet 006A,55,1172
E01000171,Barnet 006B,81,1379
E01000172,Barnet 003D,41,1185
E01000173,Barnet 006C,42,1256
E01000174,Barnet 006D,84,1265
E01000175,Barnet 006E,57,1138
E01000176,Barnet 027A,61,1187
E01000177,Barnet 029A,36,1287
E01000178,Barnet 027B,33,1267
E01000179,Barnet 029B,43,1294
E01000180,Barnet 029C,36,1188
E01000181,Barnet 029D,53,1319
E01000182,Barnet 029E,41,1320
E01000183,Barnet 033A,22,1025
E01000184,Barnet 027C,64,1005
E01000185,Barnet 029F,90,1092
E01000186,Barnet 014A,31,1080
E01000187,Barnet 014B,49,1084
E01000188,Barnet 014C,25,1127
E01000189,Barnet 014D,120,1248
E01000190,Barnet 014E,35,1083
E01000191,Barnet 014F,33,1056
E01000192,Barnet 018A,49,1292
E01000193,Barnet 018B,43,1235
E01000194,Barnet 018C,59,1230
E01000195,Barnet 013A,88,1276
E01000196,Barnet 028A,65,1423
E01000197,Barnet 023A,70,1428
E01000198,Barnet 025A,30,1313
E01000199,Barnet 025B,25,1114
E01000200,Barnet 028B,47,1292
E01000201,Barnet 028C,32,1103
E01000202,Barnet 028D,36,1265
E01000203,Barnet 028E,61,1227
E01000204,Barnet 025C,58,1311
E01000205,Barnet 035A,29,1064
E01000206,Barnet 033B,33,1069
E01000207,Barnet 033C,30,1107
E01000208,Barnet 033D,31,1141
E01000209,Barnet 035B,23,1064
E01000210,Barnet 033E,26,1071
E01000211,Barnet 035C,76,1568
E01000212,Barnet 035D,17,1041
E01000213,Barnet 033F,21,957
E01000214,Barnet 038E,40,1294
E01000215,Barnet 037B,38,1251
E01000216,Barnet 035E,57,1294
E01000217,Barnet 035F,37,1150
E01000218,Barnet 037C,42,1203
E01000219,Barnet 037D,74,1279
E01000220,Barnet 037E,44,1235
E01000221,Barnet 039B,66,878
E01000222,Barnet 040C,72,1128
E01000223,Barnet 039C,55,922
E01000224,Barnet 040D,66,1130
E01000225,Barnet 037F,28,980
E01000226,Barnet 018D,72,1212
E01000227,Barnet 018E,49,1285
E01000228,Barnet 007A,26,1011
E01000229,Barnet 013B,82,1191
E01000230,Barnet 013C,32,1206
E01000231,Barnet 013D,60,1294
E01000232,Barnet 013E,49,1304
E01000233,Barnet 013F,37,1312
E01000234,Barnet 021D,49,1239
E01000235,Barnet 021E,67,1192
E01000236,Barnet 034A,52,1213
E01000237,Barnet 032A,45,1554
E01000238,Barnet 034B,74,1319
E01000239,Barnet 031A,75,1572
E01000240,Barnet 031B,53,1254
