lsoa11cd,lsoa11nm,eco_active_unemployed11,pop11
E01000241,Barnet 031C,43,1339
E01000242,Barnet 032B,41,1075
E01000243,Barnet 032C,54,1443
E01000244,Barnet 032D,33,1332
E01000245,Barnet 032E,71,1460
E01000246,Barnet 002B,31,1093
E01000247,Barnet 002C,60,1293
E01000248,Barnet 001A,50,1183
E01000249,Barnet 001B,32,1099
E01000250,Barnet 001C,48,1634
E01000251,Barnet 002D,54,1422
E01000252,Barnet 002E,54,1180
E01000253,Barnet 007B,33,1183
E01000254,Barnet 001D,38,1082
E01000255,Barnet 017A,51,1081
E01000256,Barnet 016A,43,1306
E01000257,Barnet 017B,97,1252
E01000258,Barnet 016B,35,1192
E01000259,Barnet 025D,81,1871
E01000260,Barnet 025E,65,1445
E01000261,Barnet 017C,33,1069
E01000262,Barnet 017D,70,1561
E01000263,Barnet 016C,13,1064
E01000264,Barnet 016D,50,1228
E01000265,Barnet 011A,74,1392
E01000266,Barnet 011B,34,1124
E01000267,Barnet 005A,44,1152
E01000268,Barnet 005B,65,1265
E01000269,Barnet 005C,37,1034
E01000270,Barnet 005D,24,1089
E01000271,Barnet 008A,36,1033
E01000272,Barnet 008B,19,957
E01000273,Barnet 008C,30,1104
E01000274,Barnet 011C,58,1333
E01000275,Barnet 012A,37,1184
E01000276,Barnet 020A,21,1050
E01000277,Barnet 012B,70,1167
E01000278,Barnet 020B,23,1021
E01000279,Barnet 007C,22,1039
E01000280,Barnet 007D,26,1022
E01000281,Barnet 008D,37,835
E01000282,Barnet 008E,39,1218
E01000283,Barnet 012C,31,999
E01000284,Barnet 012D,48,1241
E01000285,Barnet 004A,47,1105
E01000286,Barnet 007E,70,1109
E01000287,Barnet 004B,62,1146
E01000288,Barnet 004C,37,1124
E01000289,Barnet 004D,100,1264
E01000290,Barnet 007F,48,1113
E01000291,Barnet 004E,83,1068
E01000292,Barnet 001E,42,1049
E01000293,Barnet 001F,37,1283
E01000294,Barnet 004F,63,1132
E01000295,Barnet 023B,55,1330
E01000296,Barnet 023C,56,1338
E01000297,Barnet 027D,53,1144
E01000298,Barnet 023D,51,1382
E01000299,Barnet 019A,59,1383
E01000300,Barnet 019B,34,1241
E01000301,Barnet 020C,33,1054
E01000302,Barnet 019C,76,1359
E01000303,Barnet 020D,36,1078
E01000304,Barnet 020E,74,1230
E01000305,Barnet 036B,78,1254
E01000306,Barnet 036C,38,1320
E01000307,Barnet 039D,69,1224
E01000308,Barnet 036D,103,1107
E01000309,Barnet 031D,48,1386
E01000310,Barnet 034C,73,1577
E01000311,Barnet 034D,34,1014
E01000312,Barnet 036E,72,1244
E01000313,Barnet 036F,69,1422
E01000314,Barnet 032F,57,1426
E01000315,Barnet 022F,71,1212
E01000316,Barnet 027E,105,1764
E01000317,Barnet 019D,55,1198
E01000318,Barnet 019E,60,1345
E01000319,Barnet 027F,36,1105
E01000320,Barnet 011D,45,1052
E01000321,Barnet 012E,49,1289
E01000322,Barnet 011E,53,1321
E01000323,Barnet 019F,72,1505
E01000324,Barnet 015F,49,1284
E01000325,Bexley 014A,40,1187
E01000326,Bexley 014B,20,963
E01000327,Bexley 017A,27,1105
E01000328,Bexley 017B,43,1100
E01000329,Bexley 017C,45,950
E01000330,Bexley 017D,49,1086
E01000331,Bexley 017E,56,1117
E01000332,Bexley 005A,44,1101
E01000333,Bexley 003A,57,1169
E01000334,Bexley 006A,42,1175
E01000335,Bexley 003B,95,1214
E01000336,Bexley 003C,95,1342
E01000337,Bexley 003D,74,1212
E01000338,Bexley 003E,53,1302
E01000339,Bexley 025A,41,1085
E01000340,Bexley 018A,30,1077
E01000341,Bexley 022A,28,1047
E01000342,Bexley 022B,36,1191
E01000343,Bexley 022C,41,1098
E01000344,Bexley 025B,28,1132
E01000345,Bexley 022D,17,1001
E01000346,Bexley 021A,27,1154
E01000347,Bexley 021B,35,1076
E01000348,Bexley 020A,28,1085
E01000349,Bexley 020B,31,1144
E01000350,Bexley 021C,31,1109
E01000351,Bexley 024A,34,1176
E01000352,Bexley 021D,35,1130
E01000353,Bexley 011A,25,1225
E01000354,Bexley 011B,43,1085
E01000355,Bexley 011C,24,1067
E01000356,Bexley 009A,24,1077
E01000357,Bexley 009B,30,1041
E01000358,Bexley 011D,33,1179
E01000359,Bexley 009C,26,953
E01000360,Bexley 015A,47,1192
E01000361,Bexley 020C,50,1145
E01000362,Bexley 015B,36,1039
E01000363,Bexley 020D,32,1091
E01000364,Bexley 023A,28,1134
E01000365,Bexley 015C,38,1136
E01000366,Bexley 015D,41,1180
E01000367,Bexley 010A,88,1126
E01000368,Bexley 010B,52,1056
E01000369,Bexley 014C,51,1241
E01000370,Bexley 014D,32,1136
E01000371,Bexley 014E,33,1152
E01000372,Bexley 010C,73,1173
E01000373,Bexley 008A,119,1034
E01000374,Bexley 019A,74,997
E01000375,Bexley 019B,61,1078
E01000376,Bexley 019C,44,1085
E01000377,Bexley 019D,34,1052
E01000378,Bexley 019E,57,1535
E01000379,Bexley 019F,55,1184
E01000380,Bexley 010D,43,1055
E01000381,Bexley 028A,33,1104
E01000382,Bexley 027A,26,1096
E01000383,Bexley 028B,37,1088
E01000384,Bexley 027B,51,1222
E01000385,Bexley 028C,82,1270
E01000386,Bexley 028D,74,984
E01000387,Bexley 027C,36,1095
E01000388,Bexley 016A,24,1101
E01000389,Bexley 020E,38,1216
E01000390,Bexley 020F,26,935
E01000391,Bexley 021E,49,1249
E01000392,Bexley 016B,87,1165
E01000393,Bexley 020G,42,1199
E01000394,Bexley 015E,20,1020
E01000395,Bexley 018B,30,1067
E01000396,Bexley 018C,27,1026
E01000398,Bexley 029A,67,1132
E01000399,Bexley 029B,43,1136
E01000400,Bexley 029C,41,1109
E01000401,Bexley 013A,51,1164
E01000402,Bexley 005B,62,1105
E01000403,Bexley 004A,90,1435
E01000404,Bexley 004B,126,1585
E01000405,Bexley 004C,72,983
E01000406,Bexley 005C,54,1170
E01000407,Bexley 005D,37,1065
E01000408,Bexley 004D,82,1185
E01000409,Bexley 016C,43,1210
E01000410,Bexley 018D,48,1152
E01000411,Bexley 016D,35,1028
E01000412,Bexley 018E,38,1194
E01000413,Bexley 018F,43,966
E01000414,Bexley 016E,62,1209
E01000415,Bexley 016F,36,1114
E01000416,Bexley 002A,71,1079
E01000417,Bexley 006B,66,1238
E01000418,Bexley 002B,69,1388
E01000419,Bexley 006C,30,1030
E01000420,Bexley 006D,27,1146
E01000421,Bexley 009D,22,1028
E01000422,Bexley 002C,127,1190
E01000423,Bexley 025C,29,1154
E01000424,Bexley 026A,35,1280
E01000425,Bexley 025D,40,1201
E01000426,Bexley 026B,46,1233
E01000427,Bexley 026C,52,1350
E01000428,Bexley 027D,50,1248
E01000429,Bexley 008B,113,1161
E01000430,Bexley 008C,80,1204
E01000431,Bexley 008D,127,1177
E01000432,Bexley 008E,69,1106
E01000433,Bexley 008F,97,1218
E01000434,Bexley 008G,75,1029
E01000435,Bexley 010E,60,982
E01000436,Bexley 011E,33,1224
E01000437,Bexley 007A,37,948
E01000438,Bexley 007B,47,1167
E01000439,Bexley 007C,40,980
E01000440,Bexley 007D,27,1051
E01000441,Bexley 007E,59,1149
E01000442,Bexley 006E,36,1132
E01000443,Bexley 024B,35,908
E01000444,Bexley 023B,34,1190
E01000445,Bexley 024C,26,1169
E01000446,Bexley 024D,26,1174
E01000447,Bexley 023C,38,1102
E01000448,Bexley 023D,24,939
E01000449,Bexley 023E,20,1002
E01000450,Bexley 009E,57,1257
E01000451,Bexley 009F,48,1245
E01000452,Bexley 009G,34,1014
E01000453,Bexley 013B,36,1063
E01000454,Bexley 013C,39,1143
E01000455,Bexley 013D,37,1212
E01000456,Bexley 013E,31,1026
E01000457,Bexley 026D,48,1311
E01000458,Bexley 027E,24,1046
E01000459,Bexley 027F,42,1168
E01000460,Bexley 022E,28,1075
E01000461,Bexley 024E,27,1255
E01000462,Bexley 026E,29,1135
E01000463,Bexley 025E,25,920
E01000464,Bexley 002D,86,1034
E01000465,Bexley 002E,120,1135
E01000466,Bexley 001A,109,1170
E01000467,Bexley 001B,100,1145
E01000468,Bexley 001C,113,1798
E01000469,Bexley 001D,89,1214
E01000470,Bexley 002F,92,1004
E01000471,Brent 026A,56,1251
E01000472,Brent 029A,56,1078
E01000473,Brent 029B,69,1491
E01000474,Brent 026B,71,1496
E01000475,Brent 029C,80,1518
E01000476,Brent 026C,60,1263
E01000477,Brent 026D,71,1422
E01000478,Brent 029D,53,1279
E01000479,Brent 009A,48,1231
E01000480,Brent 006A,49,1332
E01000481,Brent 009B,89,1154
E01000482,Brent 009C,128,2030
E01000483,Brent 009D,109,1226
E01000484,Brent 006B,56,886
E01000485,Brent 006C,49,1026
E01000486,Brent 006D,65,1259
E01000487,Brent 006E,70,1398
E01000488,Brent 022A,54,1177
E01000489,Brent 030A,40,1160
E01000490,Brent 023A,61,1346
E01000491,Brent 030B,67,1465
E01000492,Brent 030C,43,1001
E01000493,Brent 030D,69,1241
E01000494,Brent 023B,95,1379
E01000495,Brent 023C,68,1287
E01000497,Brent 011A,82,1307
E01000498,Brent 010B,71,1130
E01000499,Brent 011B,76,1189
E01000501,Brent 011C,93,1286
E01000502,Brent 011D,50,972
E01000503,Brent 011E,80,1452
E01000504,Brent 018A,53,1362
E01000505,Brent 018B,79,1260
E01000506,Brent 014A,104,1248
E01000507,Brent 018C,70,1255
E01000508,Brent 025A,129,1375
E01000509,Brent 014B,69,1080
E01000510,Brent 014C,58,1226
E01000511,Brent 014D,67,1161
E01000512,Brent 018D,74,1372
E01000513,Brent 002A,43,1212
E01000514,Brent 002B,48,1130
E01000515,Brent 003A,98,1252
E01000516,Brent 002C,54,1304
E01000517,Brent 003B,46,1208
E01000518,Brent 005A,70,1202
E01000519,Brent 005B,69,1387
E01000520,Brent 002D,65,1196
E01000521,Brent 025B,164,1579
E01000522,Brent 025C,99,1317
E01000523,Brent 031A,148,1887
E01000524,Brent 031B,159,1796
E01000525,Brent 031C,131,1447
E01000526,Brent 025D,140,1580
E01000527,Brent 025E,121,1495
E01000528,Brent 025F,116,1069
E01000530,Brent 033A,58,1438
E01000531,Brent 033B,94,1619
E01000532,Brent 033C,73,1313
E01000533,Brent 031E,137,1676
E01000534,Brent 033D,71,1325
E01000535,Brent 031F,118,1675
E01000536,Brent 004A,56,1219
E01000538,Brent 004B,38,1168
E01000539,Brent 004C,45,1153
E01000540,Brent 004D,47,1138
E01000541,Brent 004E,32,1043
E01000543,Brent 003E,66,1213
E01000544,Brent 034A,107,1329
E01000545,Brent 028A,87,1547
E01000546,Brent 028B,53,1329
E01000547,Brent 028C,80,1412
E01000548,Brent 028D,98,1739
E01000549,Brent 028E,60,1564
E01000550,Brent 034B,123,1529
E01000551,Brent 034C,181,1520
E01000552,Brent 034D,149,1263
E01000553,Brent 015A,88,1649
E01000554,Brent 015B,73,1391
E01000555,Brent 015C,45,1132
E01000556,Brent 015D,117,1544
E01000557,Brent 015E,82,1535
E01000558,Brent 015F,74,1235
E01000559,Brent 018E,67,1212
E01000560,Brent 023D,69,1349
E01000561,Brent 023E,57,1423
E01000562,Brent 008A,35,1175
E01000563,Brent 008B,45,1142
E01000564,Brent 013A,54,1195
E01000565,Brent 013B,76,1109
E01000566,Brent 008C,57,1170
E01000567,Brent 016A,49,1008
E01000568,Brent 008D,45,1962
E01000569,Brent 008E,37,1203
E01000570,Brent 012A,73,1181
E01000571,Brent 012B,69,1269
E01000572,Brent 007A,55,1090
E01000573,Brent 007B,47,1151
E01000574,Brent 007C,45,991
E01000575,Brent 007D,63,1416
E01000576,Brent 012C,46,1244
E01000577,Brent 007E,104,1681
E01000578,Brent 012D,66,1323
E01000579,Brent 032A,81,1338
E01000580,Brent 032B,70,1500
E01000581,Brent 030E,44,1172
E01000582,Brent 032C,49,1392
E01000583,Brent 032D,87,1856
E01000584,Brent 033E,62,1282
E01000585,Brent 033F,71,1379
E01000586,Brent 032E,94,2012
E01000587,Brent 001A,54,1231
E01000588,Brent 002E,90,1568
E01000589,Brent 001B,48,1466
E01000590,Brent 001C,53,1329
E01000591,Brent 003F,70,1582
E01000592,Brent 001D,60,1244
E01000593,Brent 001E,80,1590
E01000594,Brent 001F,60,1266
E01000595,Brent 027A,88,1128
E01000596,Brent 021A,119,1139
E01000599,Brent 027D,75,926
E01000600,Brent 027E,115,1429
E01000601,Brent 021B,66,969
E01000602,Brent 021C,91,1064
E01000603,Brent 021D,84,1041
E01000604,Brent 021E,96,1224
E01000605,Brent 021F,98,1131
E01000606,Brent 016B,47,1250
E01000607,Brent 013C,77,1661
E01000608,Brent 013D,81,1659
E01000609,Brent 016C,77,1530
E01000610,Brent 019A,73,1410
E01000611,Brent 016D,70,1100
E01000612,Brent 019B,52,1259
E01000613,Brent 013E,66,1278
E01000615,Brent 017B,68,1224
E01000616,Brent 020A,73,1372
E01000617,Brent 017C,62,1343
E01000618,Brent 017D,60,1169
E01000619,Brent 017E,58,1243
E01000620,Brent 020B,61,1315
E01000621,Brent 020C,71,1362
E01000622,Brent 010D,86,1204
E01000623,Brent 005C,71,1304
E01000624,Brent 005D,47,1205
E01000625,Brent 009E,51,1091
E01000626,Brent 010E,97,1053
E01000627,Brent 014E,107,1372
E01000628,Brent 014F,103,1387
E01000629,Brent 005E,70,1466
E01000630,Brent 026E,112,1727
E01000631,Brent 019C,56,1466
E01000632,Brent 029E,71,1606
E01000633,Brent 019D,76,1548
E01000634,Brent 019E,97,1751
E01000635,Brent 020D,123,1879
E01000636,Brent 020E,70,1415
E01000637,Brent 022B,88,1308
E01000638,Brent 024A,124,1469
E01000639,Brent 022C,89,1462
E01000640,Brent 024B,106,1631
E01000641,Brent 024C,91,1465
E01000642,Brent 022D,102,1734
E01000643,Brent 024D,102,1523
E01000644,Brent 022E,82,1482
E01000645,Bromley 007A,22,996
E01000646,Bromley 016A,31,1163
E01000647,Bromley 016B,37,1154
E01000648,Bromley 016C,38,1245
E01000649,Bromley 007B,36,1387
E01000650,Bromley 022A,38,1315
E01000651,Bromley 020A,30,1079
E01000652,Bromley 022B,22,1158
E01000653,Bromley 016D,29,1093
E01000654,Bromley 039A,35,959
E01000655,Bromley 039B,33,979
E01000656,Bromley 039C,32,1070
E01000657,Bromley 039D,39,1171
E01000658,Bromley 042A,30,1006
E01000659,Bromley 039E,33,1112
E01000661,Bromley 026A,79,1108
E01000662,Bromley 026B,67,1220
E01000663,Bromley 026C,47,1104
E01000664,Bromley 026D,61,1136
E01000665,Bromley 033A,43,1296
E01000666,Bromley 033B,36,1304
E01000667,Bromley 033C,26,1118
E01000668,Bromley 020B,36,1193
E01000669,Bromley 020C,53,1194
E01000670,Bromley 018A,57,1461
E01000671,Bromley 020D,43,1264
E01000672,Bromley 011A,24,1093
E01000673,Bromley 011B,35,1118
E01000674,Bromley 008A,37,1174
E01000675,Bromley 018B,43,1226
E01000676,Bromley 008B,77,1293
E01000677,Bromley 018C,65,1325
E01000678,Bromley 016E,43,1239
E01000679,Bromley 020E,40,1188
E01000680,Bromley 037A,24,1192
E01000681,Bromley 035A,30,1221
E01000682,Bromley 035B,24,1035
E01000683,Bromley 035C,37,1170
E01000684,Bromley 035D,36,1456
E01000685,Bromley 037B,42,1107
E01000686,Bromley 037C,21,1069
E01000687,Bromley 037D,34,1161
E01000688,Bromley 037E,21,985
E01000689,Bromley 002A,38,974
E01000690,Bromley 002B,28,1014
E01000691,Bromley 002C,37,1043
E01000692,Bromley 002D,33,1162
E01000693,Bromley 010A,22,1019
E01000694,Bromley 007C,23,1069
E01000695,Bromley 007D,20,1047
E01000696,Bromley 007E,19,1000
E01000697,Bromley 007F,40,1211
E01000698,Bromley 010B,26,875
E01000699,Bromley 015A,83,1096
E01000700,Bromley 013A,42,1147
E01000701,Bromley 015B,50,1028
E01000702,Bromley 013B,44,1031
E01000703,Bromley 013C,43,1193
E01000704,Bromley 015C,45,1039
E01000705,Bromley 015D,58,982
E01000706,Bromley 013D,34,968
E01000707,Bromley 041A,28,1009
E01000708,Bromley 041B,35,1107
E01000709,Bromley 006A,42,988
E01000710,Bromley 006B,39,1296
E01000711,Bromley 006C,44,1390
E01000712,Bromley 012A,26,1297
E01000713,Bromley 012B,42,1338
E01000714,Bromley 006D,70,1500
E01000715,Bromley 012C,39,1236
E01000716,Bromley 011C,31,1104
E01000717,Bromley 011D,41,1295
E01000718,Bromley 006E,103,1514
E01000719,Bromley 019A,72,1330
E01000720,Bromley 019B,79,1143
E01000721,Bromley 019C,71,897
E01000722,Bromley 023A,55,1173
E01000723,Bromley 029A,36,914
E01000724,Bromley 019D,98,1130
E01000725,Bromley 023B,69,1174
E01000726,Bromley 029B,21,947
E01000727,Bromley 028A,48,1114
E01000728,Bromley 019E,37,1071
E01000729,Bromley 014A,102,1238
E01000730,Bromley 014B,77,1143
E01000731,Bromley 023C,52,940
E01000732,Bromley 023D,40,1052
E01000733,Bromley 023E,58,1138
E01000734,Bromley 028B,31,945
E01000735,Bromley 014C,65,1034
E01000736,Bromley 010C,56,1068
E01000737,Bromley 010D,43,925
E01000738,Bromley 014D,41,1055
E01000739,Bromley 014E,53,995
E01000740,Bromley 005A,78,1339
E01000741,Bromley 005B,99,1289
E01000742,Bromley 005C,101,1608
E01000743,Bromley 009A,86,1300
E01000744,Bromley 009B,94,1072
E01000745,Bromley 005D,91,1370
E01000746,Bromley 005E,75,1466
E01000747,Bromley 042B,44,1374
E01000748,Bromley 042C,30,1190
E01000749,Bromley 036A,17,1132
E01000750,Bromley 036B,52,1088
E01000751,Bromley 036C,40,1368
E01000752,Bromley 036D,35,1050
E01000753,Bromley 031A,31,1186
E01000754,Bromley 031B,39,1165
E01000755,Bromley 031C,21,1027
E01000756,Bromley 033D,17,1094
E01000757,Bromley 031D,20,1097
E01000758,Bromley 031E,22,1037
E01000759,Bromley 034A,29,1113
E01000760,Bromley 034B,29,1029
E01000761,Bromley 034C,39,1131
E01000762,Bromley 018D,48,1156
E01000763,Bromley 027A,25,1047
E01000764,Bromley 027B,30,1122
E01000765,Bromley 034D,36,1221
E01000766,Bromley 027C,25,1213
E01000767,Bromley 027D,29,1144
E01000768,Bromley 034E,33,1116
E01000769,Bromley 024A,25,1063
E01000770,Bromley 012D,24,998
E01000771,Bromley 041C,40,1188
